Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
IO,1.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.13857142857142857,0.13142857142857142,0.045714285714285714,0.14285714285714285,0.19285714285714287,0.15285714285714286,0.2414285714285714,0.18285714285714286,0.17857142857142858,0.10714285714285714,0.15285714285714286,0.2957142857142857,0.26285714285714284,0.1942857142857143,0.011428571428571429,0.008571428571428572,0.15142857142857144,0.2057142857142857,0.45999999999999996,0.015714285714285715,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16571428571428573,0.0,0.0,0.12714285714285714,0.19428571428571426
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
Arithmetic,1.0,0.2,0.2,0.39,0.394,0.174,0.01,0.0,0.038,0.036,0.32799999999999996,0.012,0.064,0.01,0.10800000000000001,0.198,0.01,0.028000000000000004,0.0,0.006,0.18,0.246,0.39,0.19,0.238,0.2,0.2,0.2,0.2,0.192,0.146,0.2,0.04,0.066
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
Comparison,1.0,0.0,0.4916666666666667,0.0,0.0,0.17,0.14833333333333332,0.33166666666666667,0.16666666666666666,0.12666666666666668,0.16,0.15,0.13333333333333333,0.25333333333333335,0.33666666666666667,0.17,0.36333333333333334,0.2733333333333334,0.2316666666666667,0.18666666666666668,0.006666666666666667,0.013333333333333334,0.045000000000000005,0.041666666666666664,0.013333333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.006666666666666667,0.09000000000000001
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
Boolean,1.0,0.0,0.975,0.0,0.0,0.5,0.315,0.495,0.0,0.0,0.0,0.0,0.0,0.02,0.24,0.0,0.21000000000000002,0.18000000000000002,0.49,0.49,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
String Handling,1.0,0.0,0.325,0.0,0.0,0.3333333333333333,0.13166666666666668,0.165,0.22999999999999998,0.18333333333333335,0.4433333333333333,0.21333333333333335,0.22166666666666668,0.008333333333333333,0.18666666666666665,0.17833333333333334,0.09500000000000001,0.09500000000000001,0.0,0.005,0.18166666666666667,0.24,0.5366666666666666,0.15833333333333333,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.19833333333333336,0.0,0.0,0.15666666666666665,0.3116666666666667
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
Vectors,1.0,0.0,0.25,0.2375,0.25,0.0,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.3925,0.0,0.2,0.08000000000000002,0.34750000000000003,0.28,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.1825,0.25,0.0,0.0
Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
All Programs,1.0,0.03,0.38,0.13,0.13,0.2,0.08,0.14,0.05,0.04,0.11,0.05,0.06,0.18,0.25,0.15,0.22,0.15,0.18,0.15,0.16,0.21,0.32,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.11,0.07,0.16
