Gen 0
float_yankdup,integer_swap,vector_float_conj,vector_float_conc,vector_float_occurrencesof,vector_float_replacefirst,vector_float_rest,vector_float_p,vector_float_s,vector_float_r,vector_float_first,integer_fromfloat,vector_float_last,vector_float_d,float_sw,exec_yankd,vector_float_n,exec_do*tim,exec_yankdup,exec_yank,integer_mu,vector_float_remove,vector_float_fir,exec_do*vector_float,float_p,float_r,vector_float_stackdep,vector_float_dup,vector_float_subvec,float_i,exec_do*range,integer_yankd,float_m,integer_rot,float_a,float_c,float_d,integer_stackdep,float_s,vector_float_occurrences,exec_stackdepth,vector_float_swap,vector_float_reverse,integer_m,float_stackdepth,float_max,exec_do*vector_flo,float_min,vector_float_rot,float_rot,exec_shove,vector_float_pushall,float_stackdep,float_sub,vector_float_sho,integer_div,integer_mult,integer_min,float_shove,integer_flush,float_inc,in1,integer_yank,integer_fromflo,vector_float_yankdup,float_ya,vector_float_butla,integer_sw,float_pop,exec_d,float_yankd,integer_max,exec_dup,exec_k,float_frominteger,float_mult,exec_noop,exec_p,exec_r,exec_s,vector_float_butlast,integer_flu,exec_y,float_mod,integer_ya,integer_yankdup,exec_stackdep,vector_float_ta,vector_float_index,vector_float_pop,exec_do*cou,exec_do*ran,vector_float_flu,float_add,exec_do*times,integer_shove,float_tan,vector_float_la,vector_float_indexof,integer_d,float_frominteg,vector_float_stackdepth,exec_sho,vector_float_replace,exec_swap,vector_float_rever,autoconstructive_integer_ra,exec_sw,integer_add,exec_flush,float_flu,float_cos,exec_flu,integer_mod,float_div,vector_float_leng,integer_inc,vector_float_yank,exec_rot,vector_float_flush,float_dec,vector_float_set,integer_pop,vector_float_shove,exec_pop,vector_float_take,vector_float_concat,vector_float_pusha,vector_float_ya,vector_float_remo,float_sin,float_yank,vector_float_length,exec_do*count,integer_sub,float_mu,exec_no,vector_float_re,float_dup,integer_r,integer_sho,vector_float_yankd,integer_stackdepth,integer_dec,exec,vector_float_replacefir,vector_float_nth,float_swap,vector_float_co,exec_ya,autoconstructive_integer_rand,float_flush,float_t,float_sho,integer_a,integer_dup,integer_i,vector_float_subv,integer_s,integer_p,vector_float_repla,vector_float_sw
0.187812187812,0.192807192807,0.196803196803,0.003996003996,0.201798201798,0.177822177822,0.198801198801,0.00699300699301,0.00699300699301,0.00699300699301,0.198801198801,0.205794205794,0.170829170829,0.00999000999001,0.002997002997,0.00699300699301,0.00599400599401,0.00599400599401,0.174825174825,0.198801198801,0.002997002997,0.193806193806,0.00699300699301,0.177822177822,0.002997002997,0.001998001998,0.00599400599401,0.168831168831,0.181818181818,0.010989010989,0.186813186813,0.001998001998,0.015984015984,0.197802197802,0.00799200799201,0.003996003996,0.004995004995,0.001998001998,0.010989010989,0.00699300699301,0.185814185814,0.184815184815,0.186813186813,0.011988011988,0.198801198801,0.184815184815,0.00899100899101,0.206793206793,0.176823176823,0.183816183816,0.185814185814,0.180819180819,0.004995004995,0.186813186813,0.001998001998,0.192807192807,0.18981018981,0.194805194805,0.200799200799,0.203796203796,0.190809190809,0.182817182817,0.212787212787,0.00799200799201,0.183816183816,0.00999000999001,0.001998001998,0.004995004995,0.178821178821,0.00799200799201,0.004995004995,0.178821178821,0.191808191808,0.188811188811,0.196803196803,0.186813186813,0.200799200799,0.00799200799201,0.004995004995,0.195804195804,0.190809190809,0.004995004995,0.191808191808,0.184815184815,0.00899100899101,0.193806193806,0.003996003996,0.00899100899101,0.003996003996,0.201798201798,0.002997002997,0.00799200799201,0.001998001998,0.195804195804,0.205794205794,0.186813186813,0.196803196803,0.00699300699301,0.18981018981,0.025974025974,0.004995004995,0.195804195804,0.00899100899101,0.194805194805,0.181818181818,0.00599400599401,0.00899100899101,0.00799200799201,0.207792207792,0.213786213786,0.003996003996,0.187812187812,0.002997002997,0.188811188811,0.225774225774,0.002997002997,0.186813186813,0.178821178821,0.192807192807,0.186813186813,0.197802197802,0.180819180819,0.176823176823,0.205794205794,0.186813186813,0.180819180819,0.210789210789,0.00699300699301,0.002997002997,0.000999000999001,0.204795204795,0.197802197802,0.192807192807,0.197802197802,0.187812187812,0.00899100899101,0.00599400599401,0.00599400599401,0.20979020979,0.004995004995,0.00599400599401,0.003996003996,0.193806193806,0.191808191808,0.021978021978,0.00699300699301,0.206793206793,0.203796203796,0.003996003996,0.00599400599401,0.200799200799,0.186813186813,0.00599400599401,0.003996003996,0.003996003996,0.200799200799,0.00699300699301,0.001998001998,0.00799200799201,0.00799200799201,0.00799200799201,0.00599400599401
Gen 1
float_yankdup,integer_swap,vector_float_conj,vector_float_conc,vector_float_occurrencesof,vector_float_replacefirst,vector_float_rest,vector_float_p,vector_float_s,vector_float_r,vector_float_first,integer_fromfloat,vector_float_last,vector_float_d,float_sw,exec_yankd,vector_float_n,exec_do*tim,exec_yankdup,exec_yank,integer_mu,vector_float_remove,vector_float_fir,exec_do*vector_float,float_p,float_r,vector_float_stackdep,vector_float_dup,vector_float_subvec,float_i,exec_do*range,integer_yankd,float_m,integer_rot,float_a,float_c,float_d,integer_stackdep,float_s,vector_float_occurrences,exec_stackdepth,vector_float_swap,vector_float_reverse,integer_m,float_stackdepth,float_max,exec_do*vector_flo,float_min,vector_float_rot,float_rot,exec_shove,vector_float_pushall,float_stackdep,float_sub,vector_float_sho,integer_div,integer_mult,integer_min,float_shove,integer_flush,float_inc,in1,integer_yank,integer_fromflo,vector_float_yankdup,float_ya,vector_float_butla,integer_sw,float_pop,exec_d,float_yankd,integer_max,exec_dup,exec_k,float_frominteger,float_mult,exec_noop,exec_p,exec_r,exec_s,vector_float_butlast,integer_flu,exec_y,float_mod,integer_ya,integer_yankdup,exec_stackdep,vector_float_ta,vector_float_index,vector_float_pop,exec_do*cou,exec_do*ran,vector_float_flu,float_add,exec_do*times,integer_shove,float_tan,vector_float_la,vector_float_indexof,integer_d,float_frominteg,vector_float_stackdepth,exec_sho,vector_float_replace,exec_swap,vector_float_rever,autoconstructive_integer_ra,exec_sw,integer_add,exec_flush,float_flu,float_cos,exec_flu,integer_mod,float_div,vector_float_leng,integer_inc,vector_float_yank,exec_rot,vector_float_flush,float_dec,vector_float_set,integer_pop,vector_float_shove,exec_pop,vector_float_take,vector_float_concat,vector_float_pusha,vector_float_ya,vector_float_remo,float_sin,float_yank,vector_float_length,exec_do*count,integer_sub,float_mu,exec_no,vector_float_re,float_dup,integer_r,integer_sho,vector_float_yankd,integer_stackdepth,integer_dec,exec,vector_float_replacefir,vector_float_nth,float_swap,vector_float_co,exec_ya,autoconstructive_integer_rand,float_flush,float_t,float_sho,integer_a,integer_dup,integer_i,vector_float_subv,integer_s,integer_p,vector_float_repla,vector_float_sw
0.0989505247376,0.0969515242379,0.0794602698651,0.00449775112444,0.0429785107446,0.0729635182409,0.0654672663668,0.000999500249875,0.00349825087456,0.000499750124938,0.0824587706147,0.0464767616192,0.0669665167416,0.000999500249875,0.000999500249875,0.000999500249875,0.00299850074963,0.00199900049975,0.0509745127436,0.0754622688656,0.0,0.0944527736132,0.00499750124938,0.0764617691154,0.000999500249875,0.0,0.0104947526237,0.0839580209895,0.0699650174913,0.00199900049975,0.0894552723638,0.00149925037481,0.00499750124938,0.0969515242379,0.00299850074963,0.0,0.00299850074963,0.000499750124938,0.00199900049975,0.000999500249875,0.0924537731134,0.0514742628686,0.087956021989,0.000999500249875,0.0789605197401,0.0484757621189,0.00249875062469,0.0369815092454,0.0984507746127,0.0764617691154,0.0779610194903,0.0994502748626,0.0,0.0329835082459,0.000499750124938,0.0439780109945,0.0659670164918,0.0459770114943,0.103448275862,0.0859570214893,0.0544727636182,0.111944027986,0.0374812593703,0.00599700149925,0.0884557721139,0.00299850074963,0.0,0.000499750124938,0.0444777611194,0.000999500249875,0.0179910044978,0.0514742628686,0.0969515242379,0.0789605197401,0.0949525237381,0.0809595202399,0.0519740129935,0.00149925037481,0.00149925037481,0.0524737631184,0.0699650174913,0.000999500249875,0.0294852573713,0.095952023988,0.0129935032484,0.0434782608696,0.000999500249875,0.000999500249875,0.0104947526237,0.0729635182409,0.000999500249875,0.0164917541229,0.0,0.0324837581209,0.0749625187406,0.0464767616192,0.0859570214893,0.000499750124938,0.0949525237381,0.00149925037481,0.000999500249875,0.0914542728636,0.000999500249875,0.0314842578711,0.0779610194903,0.00149925037481,0.000999500249875,0.000499750124938,0.0694652673663,0.0539730134933,0.00199900049975,0.0844577711144,0.000499750124938,0.0819590204898,0.0919540229885,0.000999500249875,0.0549725137431,0.0979510244878,0.0854572713643,0.0259870064968,0.0839580209895,0.0514742628686,0.0834582708646,0.0514742628686,0.0604697651174,0.0764617691154,0.104947526237,0.00849575212394,0.000499750124938,0.000999500249875,0.0839580209895,0.0754622688656,0.0764617691154,0.0929535232384,0.0564717641179,0.00749625187406,0.0,0.00849575212394,0.113943028486,0.00149925037481,0.000999500249875,0.00199900049975,0.0624687656172,0.0809595202399,0.00149925037481,0.0,0.0794602698651,0.0999500249875,0.00149925037481,0.000999500249875,0.102948525737,0.0804597701149,0.00149925037481,0.000999500249875,0.00149925037481,0.0934532733633,0.000499750124938,0.000499750124938,0.00349825087456,0.000999500249875,0.0,0.0
Gen 2
float_yankdup,integer_swap,vector_float_conj,vector_float_conc,vector_float_occurrencesof,vector_float_replacefirst,vector_float_rest,vector_float_p,vector_float_s,vector_float_r,vector_float_first,integer_fromfloat,vector_float_last,vector_float_d,float_sw,exec_yankd,vector_float_n,exec_do*tim,exec_yankdup,exec_yank,integer_mu,vector_float_remove,vector_float_fir,exec_do*vector_float,float_p,float_r,vector_float_stackdep,vector_float_dup,vector_float_subvec,float_i,exec_do*range,integer_yankd,float_m,integer_rot,float_a,float_c,float_d,integer_stackdep,float_s,vector_float_occurrences,exec_stackdepth,vector_float_swap,vector_float_reverse,integer_m,float_stackdepth,float_max,exec_do*vector_flo,float_min,vector_float_rot,float_rot,exec_shove,vector_float_pushall,float_stackdep,float_sub,vector_float_sho,integer_div,integer_mult,integer_min,float_shove,integer_flush,float_inc,in1,integer_yank,integer_fromflo,vector_float_yankdup,float_ya,vector_float_butla,integer_sw,float_pop,exec_d,float_yankd,integer_max,exec_dup,exec_k,float_frominteger,float_mult,exec_noop,exec_p,exec_r,exec_s,vector_float_butlast,integer_flu,exec_y,float_mod,integer_ya,integer_yankdup,exec_stackdep,vector_float_ta,vector_float_index,vector_float_pop,exec_do*cou,exec_do*ran,vector_float_flu,float_add,exec_do*times,integer_shove,float_tan,vector_float_la,vector_float_indexof,integer_d,float_frominteg,vector_float_stackdepth,exec_sho,vector_float_replace,exec_swap,vector_float_rever,autoconstructive_integer_ra,exec_sw,integer_add,exec_flush,float_flu,float_cos,exec_flu,integer_mod,float_div,vector_float_leng,integer_inc,vector_float_yank,exec_rot,vector_float_flush,float_dec,vector_float_set,integer_pop,vector_float_shove,exec_pop,vector_float_take,vector_float_concat,vector_float_pusha,vector_float_ya,vector_float_remo,float_sin,float_yank,vector_float_length,exec_do*count,integer_sub,float_mu,exec_no,vector_float_re,float_dup,integer_r,integer_sho,vector_float_yankd,integer_stackdepth,integer_dec,exec,vector_float_replacefir,vector_float_nth,float_swap,vector_float_co,exec_ya,autoconstructive_integer_rand,float_flush,float_t,float_sho,integer_a,integer_dup,integer_i,vector_float_subv,integer_s,integer_p,vector_float_repla,vector_float_sw
0.0373208930357,0.0469843385538,0.0453182272576,0.000999666777741,0.0226591136288,0.026991002999,0.0489836721093,0.000666444518494,0.000333222259247,0.000333222259247,0.0369876707764,0.0396534488504,0.0406531156281,0.000333222259247,0.00166611129623,0.0,0.0,0.00233255581473,0.0303232255915,0.0416527824059,0.0,0.056647784072,0.00399866711096,0.0336554481839,0.000999666777741,0.0,0.000666444518494,0.0429856714429,0.0489836721093,0.000999666777741,0.0416527824059,0.00333222259247,0.00299900033322,0.0389870043319,0.0,0.000666444518494,0.00166611129623,0.000666444518494,0.000666444518494,0.000666444518494,0.0626457847384,0.0199933355548,0.0369876707764,0.000666444518494,0.0319893368877,0.0186604465178,0.0,0.021659446851,0.0716427857381,0.0466511162946,0.0389870043319,0.0416527824059,0.000333222259247,0.0146617794069,0.000666444518494,0.0249916694435,0.0203265578141,0.0276574475175,0.0503165611463,0.025658113962,0.0246584471843,0.0546484505165,0.0199933355548,0.00333222259247,0.0509830056648,0.00533155614795,0.00166611129623,0.00133288903699,0.024325224925,0.00266577807398,0.00666444518494,0.03098967011,0.0546484505165,0.0383205598134,0.0663112295901,0.0493168943685,0.0276574475175,0.000666444518494,0.0,0.0286571142952,0.0519826724425,0.0,0.0153282239254,0.0626457847384,0.00333222259247,0.021659446851,0.0049983338887,0.000666444518494,0.0056647784072,0.0659780073309,0.0,0.0049983338887,0.000333222259247,0.0173275574808,0.0336554481839,0.0273242252582,0.0466511162946,0.000333222259247,0.0536487837388,0.00199933355548,0.00133288903699,0.0523158947018,0.000333222259247,0.0189936687771,0.0543152282572,0.000666444518494,0.000999666777741,0.000666444518494,0.0226591136288,0.0316561146285,0.000333222259247,0.0519826724425,0.000666444518494,0.0389870043319,0.0406531156281,0.0,0.0413195601466,0.0596467844052,0.0253248917028,0.0209930023326,0.0456514495168,0.0326557814062,0.0316561146285,0.0146617794069,0.0199933355548,0.0316561146285,0.0546484505165,0.000999666777741,0.000666444518494,0.00199933355548,0.0483172275908,0.028323892036,0.0169943352216,0.0469843385538,0.0246584471843,0.00233255581473,0.000333222259247,0.00699766744419,0.0426524491836,0.0,0.000999666777741,0.00133288903699,0.0173275574808,0.0429856714429,0.00166611129623,0.000333222259247,0.0373208930357,0.0669776741086,0.000666444518494,0.000333222259247,0.0586471176275,0.0479840053316,0.0,0.000333222259247,0.00766411196268,0.0363212262579,0.0,0.000333222259247,0.00233255581473,0.000333222259247,0.0,0.0
Gen 3
float_yankdup,integer_swap,vector_float_conj,vector_float_conc,vector_float_occurrencesof,vector_float_replacefirst,vector_float_rest,vector_float_p,vector_float_s,vector_float_r,vector_float_first,integer_fromfloat,vector_float_last,vector_float_d,float_sw,exec_yankd,vector_float_n,exec_do*tim,exec_yankdup,exec_yank,integer_mu,vector_float_remove,vector_float_fir,exec_do*vector_float,float_p,float_r,vector_float_stackdep,vector_float_dup,vector_float_subvec,float_i,exec_do*range,integer_yankd,float_m,integer_rot,float_a,float_c,float_d,integer_stackdep,float_s,vector_float_occurrences,exec_stackdepth,vector_float_swap,vector_float_reverse,integer_m,float_stackdepth,float_max,exec_do*vector_flo,float_min,vector_float_rot,float_rot,exec_shove,vector_float_pushall,float_stackdep,float_sub,vector_float_sho,integer_div,integer_mult,integer_min,float_shove,integer_flush,float_inc,in1,integer_yank,integer_fromflo,vector_float_yankdup,float_ya,vector_float_butla,integer_sw,float_pop,exec_d,float_yankd,integer_max,exec_dup,exec_k,float_frominteger,float_mult,exec_noop,exec_p,exec_r,exec_s,vector_float_butlast,integer_flu,exec_y,float_mod,integer_ya,integer_yankdup,exec_stackdep,vector_float_ta,vector_float_index,vector_float_pop,exec_do*cou,exec_do*ran,vector_float_flu,float_add,exec_do*times,integer_shove,float_tan,vector_float_la,vector_float_indexof,integer_d,float_frominteg,vector_float_stackdepth,exec_sho,vector_float_replace,exec_swap,vector_float_rever,autoconstructive_integer_ra,exec_sw,integer_add,exec_flush,float_flu,float_cos,exec_flu,integer_mod,float_div,vector_float_leng,integer_inc,vector_float_yank,exec_rot,vector_float_flush,float_dec,vector_float_set,integer_pop,vector_float_shove,exec_pop,vector_float_take,vector_float_concat,vector_float_pusha,vector_float_ya,vector_float_remo,float_sin,float_yank,vector_float_length,exec_do*count,integer_sub,float_mu,exec_no,vector_float_re,float_dup,integer_r,integer_sho,vector_float_yankd,integer_stackdepth,integer_dec,exec,vector_float_replacefir,vector_float_nth,float_swap,vector_float_co,exec_ya,autoconstructive_integer_rand,float_flush,float_t,float_sho,integer_a,integer_dup,integer_i,vector_float_subv,integer_s,integer_p,vector_float_repla,vector_float_sw
